  Lines          Copies        Function name
  -----          ------        -------------
  284995 (100%)  16017 (100%)  (TOTAL)
   57871 (20.3%)  3635 (22.7%) core::ptr::drop_in_place
   15390 (5.4%)    270 (1.7%)  alloc::raw_vec::RawVec<T,A>::current_memory
   12940 (4.5%)    280 (1.7%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
   11296 (4.0%)    280 (1.7%)  alloc::sync::Weak<T>::inner
    8339 (2.9%)    269 (1.7%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    8339 (2.9%)    269 (1.7%)  core::ptr::slice_from_raw_parts_mut
    6744 (2.4%)    281 (1.8%)  core::alloc::layout::Layout::for_value
    6256 (2.2%)     68 (0.4%)  core::alloc::layout::Layout::array
    5537 (1.9%)     49 (0.3%)  salsa::blocking_future::Promise<T>::transition
    4543 (1.6%)     59 (0.4%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
    4295 (1.5%)    280 (1.7%)  alloc::sync::Arc<T>::drop_slow
    4224 (1.5%)    280 (1.7%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
    3835 (1.3%)     59 (0.4%)  <hashbrown::raw::RawTable<T> as core::ops::drop::Drop>::drop
    3436 (1.2%)     64 (0.4%)  core::option::Option<T>::unwrap_or_else
    3186 (1.1%)     59 (0.4%)  hashbrown::raw::calculate_layout
    3159 (1.1%)    351 (2.2%)  core::mem::size_of
    2970 (1.0%)    330 (2.1%)  core::mem::align_of
    2935 (1.0%)    269 (1.7%)  <alloc::vec::Vec<T> as core::ops::drop::Drop>::drop
    2612 (0.9%)    283 (1.8%)  core::mem::min_align_of_val
    2599 (0.9%)    282 (1.8%)  core::mem::size_of_val
    2430 (0.9%)    270 (1.7%)  alloc::vec::Vec<T>::as_mut_ptr
    2242 (0.8%)     59 (0.4%)  <hashbrown::raw::RawIter<T> as core::iter::traits::iterator::Iterator>::next
    1999 (0.7%)     29 (0.2%)  core::option::Option<T>::map
    1976 (0.7%)     52 (0.3%)  <smallvec::SmallVec<A> as core::ops::index::IndexMut<I>>::index_mut
    1925 (0.7%)     55 (0.3%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    1795 (0.6%)     27 (0.2%)  core::option::Option<T>::ok_or_else
    1775 (0.6%)    292 (1.8%)  core::ptr::non_null::NonNull<T>::cast
    1711 (0.6%)     59 (0.4%)  hashbrown::raw::RawTable<T>::free_buckets
    1704 (0.6%)    280 (1.7%)  alloc::rc::is_dangling
    1687 (0.6%)    279 (1.7%)  core::ptr::unique::Unique<T>::cast
    1675 (0.6%)      5 (0.0%)  hashbrown::raw::RawTable<T>::rehash_in_place
    1664 (0.6%)     52 (0.3%)  smallvec::SmallVec<A>::triple_mut
    1652 (0.6%)     59 (0.4%)  hashbrown::raw::Bucket<T>::add
    1652 (0.6%)     59 (0.4%)  hashbrown::raw::RawTable<T>::iter
    1575 (0.6%)      9 (0.1%)  hashbrown::raw::RawTable<T>::find
    1556 (0.5%)     52 (0.3%)  <smallvec::SmallVec<A> as core::ops::drop::Drop>::drop
    1503 (0.5%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_token_tree
    1502 (0.5%)    280 (1.7%)  alloc::sync::Arc<T>::get_mut_unchecked
    1485 (0.5%)      9 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1452 (0.5%)    285 (1.8%)  core::mem::drop
    1354 (0.5%)    271 (1.7%)  core::ptr::mut_ptr::<impl *mut T>::is_null
    1350 (0.5%)    270 (1.7%)  alloc::raw_vec::RawVec<T,A>::ptr
    1298 (0.5%)     59 (0.4%)  hashbrown::raw::Bucket<T>::from_base_index
    1298 (0.5%)     59 (0.4%)  hashbrown::raw::RawIterRange<T>::new
    1242 (0.4%)     23 (0.1%)  core::ptr::swap_nonoverlapping_one
