  Lines           Copies        Function name
  -----           ------        -------------
  1307311 (100%)  45496 (100%)  (TOTAL)
    76726 (5.9%)     51 (0.1%)  salsa::derived::slot::Slot<Q,MP>::read_upgrade
    72956 (5.6%)    102 (0.2%)  salsa::derived::slot::Slot<Q,MP>::probe
    66233 (5.1%)   4735 (10.4%) core::ptr::drop_in_place
    29700 (2.3%)    110 (0.2%)  indexmap::map::OrderMapCore<K,V>::double_capacity
    28380 (2.2%)    220 (0.5%)  indexmap::map::OrderMapCore<K,V>::reinsert_entry_in_order
    27543 (2.1%)    401 (0.9%)  core::option::Option<T>::map
    25856 (2.0%)     51 (0.1%)  salsa::derived::slot::PanicGuard<Q,MP>::overwrite_placeholder
    25470 (1.9%)    110 (0.2%)  indexmap::map::OrderMapCore<K,V>::entry_phase_1
    23494 (1.8%)    299 (0.7%)  core::option::Option<T>::ok_or_else
    22275 (1.7%)    135 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    20460 (1.6%)    110 (0.2%)  indexmap::map::OrderMapCore<K,V>::find_using_impl
    17848 (1.4%)    194 (0.4%)  core::alloc::layout::Layout::array
    15447 (1.2%)    271 (0.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
    14996 (1.1%)     46 (0.1%)  smallvec::SmallVec<A>::try_grow
    14824 (1.1%)    264 (0.6%)  core::ptr::swap_nonoverlapping_one
    14739 (1.1%)     51 (0.1%)  salsa::lru::Lru<Node>::record_use
    13428 (1.0%)     51 (0.1%)  salsa::runtime::Runtime::execute_query_implementation
    13107 (1.0%)     51 (0.1%)  salsa::lru::LruData<Node>::insert_new
    12964 (1.0%)    118 (0.3%)  alloc::sync::Arc<T>::new
    12940 (1.0%)    280 (0.6%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    12817 (1.0%)    103 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    12424 (1.0%)     51 (0.1%)  <salsa::derived::DerivedStorage<Q,MP> as salsa::plumbing::QueryStorageOps<Q>>::try_fetch
    11628 (0.9%)     51 (0.1%)  salsa::lru::LruData<Node>::promote_yellow_to_green
    11550 (0.9%)     66 (0.1%)  hashbrown::raw::RawTable<T>::find
    11296 (0.9%)    280 (0.6%)  alloc::sync::Weak<T>::inner
